,,Fraction of pregnant women registered under JSY
SC Bhandarbodi,Jun-2015,0.0
SC Bhandarbodi,Jul-2015,0.6666666666666666
SC Bhandarbodi,Aug-2015,0.3333333333333333
SC Bhandarbodi,Sep-2015,1.0
SC Bhandarbodi,Oct-2015,0.2857142857142857
SC Bhandarbodi,Nov-2015,0.6666666666666666
SC Bhandarbodi,Dec-2015,
SC Bhandarbodi,Jan-2016,0.4
SC Bhandarbodi,Feb-2016,0.6666666666666666
SC Bhandarbodi,Mar-2016,0.25
SC Bhandarbodi,Total,0.4634146341463415
SC Bhanegaon,Apr-2015,0.38461538461538464
SC Bhanegaon,May-2015,0.2222222222222222
SC Bhanegaon,Jun-2015,0.125
SC Bhanegaon,Jul-2015,0.5833333333333334
SC Bhanegaon,Aug-2015,0.3
SC Bhanegaon,Sep-2015,0.25
SC Bhanegaon,Oct-2015,0.5714285714285714
SC Bhanegaon,Nov-2015,0.5
SC Bhanegaon,Dec-2015,0.46153846153846156
SC Bhanegaon,Jan-2016,0.5
SC Bhanegaon,Feb-2016,0.2222222222222222
SC Bhanegaon,Mar-2016,0.5714285714285714
SC Bhanegaon,Total,0.3888888888888889
SC Bharsingi,Apr-2015,0.6
SC Bharsingi,May-2015,0.5
SC Bharsingi,Jun-2015,0.2857142857142857
SC Bharsingi,Jul-2015,0.6666666666666666
SC Bharsingi,Aug-2015,0.2857142857142857
SC Bharsingi,Sep-2015,0.3333333333333333
SC Bharsingi,Oct-2015,0.2
SC Bharsingi,Nov-2015,0.2
SC Bharsingi,Dec-2015,0.375
SC Bharsingi,Jan-2016,0.5
SC Bharsingi,Feb-2016,0.6666666666666666
SC Bharsingi,Mar-2016,0.25
SC Bharsingi,Total,0.38461538461538464
SC Bhishnur Jalalkheda,Apr-2015,0.7
SC Bhishnur Jalalkheda,May-2015,0.4
SC Bhishnur Jalalkheda,Jun-2015,0.75
SC Bhishnur Jalalkheda,Jul-2015,0.3333333333333333
SC Bhishnur Jalalkheda,Aug-2015,0.6
SC Bhishnur Jalalkheda,Sep-2015,0.6666666666666666
SC Bhishnur Jalalkheda,Oct-2015,0.0
SC Bhishnur Jalalkheda,Nov-2015,0.4
SC Bhishnur Jalalkheda,Dec-2015,0.5
SC Bhishnur Jalalkheda,Jan-2016,0.0
SC Bhishnur Jalalkheda,Feb-2016,0.25
SC Bhishnur Jalalkheda,Mar-2016,0.3333333333333333
SC Bhishnur Jalalkheda,Total,0.45454545454545453
SC Bhiwapur,Apr-2015,0.5833333333333334
SC Bhiwapur,May-2015,0.5
SC Bhiwapur,Jun-2015,0.5
SC Bhiwapur,Jul-2015,0.4375
SC Bhiwapur,Aug-2015,0.631578947368421
SC Bhiwapur,Sep-2015,0.6666666666666666
SC Bhiwapur,Oct-2015,0.5
SC Bhiwapur,Nov-2015,0.4444444444444444
SC Bhiwapur,Dec-2015,0.35714285714285715
SC Bhiwapur,Jan-2016,0.5
SC Bhiwapur,Feb-2016,0.6666666666666666
SC Bhiwapur,Mar-2016,0.3
SC Bhiwapur,Total,0.5159235668789809
SC Bhorgad,Apr-2015,0.5
SC Bhorgad,May-2015,1.0
SC Bhorgad,Jun-2015,0.0
SC Bhorgad,Jul-2015,1.0
SC Bhorgad,Aug-2015,1.0
SC Bhorgad,Sep-2015,1.0
SC Bhorgad,Oct-2015,0.0
SC Bhorgad,Nov-2015,1.0
SC Bhorgad,Dec-2015,1.0
SC Bhorgad,Jan-2016,1.0
SC Bhorgad,Feb-2016,1.0
SC Bhorgad,Mar-2016,
SC Bhorgad,Total,0.8181818181818182
SC Bhugaon,Apr-2015,0.75
SC Bhugaon,May-2015,0.42857142857142855
SC Bhugaon,Jun-2015,0.2857142857142857
SC Bhugaon,Jul-2015,0.8
SC Bhugaon,Aug-2015,0.0
SC Bhugaon,Sep-2015,0.23076923076923078
SC Bhugaon,Oct-2015,0.5555555555555556
SC Bhugaon,Nov-2015,0.42857142857142855
SC Bhugaon,Dec-2015,0.4444444444444444
SC Bhugaon,Jan-2016,0.6
SC Bhugaon,Feb-2016,0.3333333333333333
SC Bhugaon,Mar-2016,0.4444444444444444
SC Bhugaon,Total,0.45263157894736844
SC Bina,Apr-2015,0.2857142857142857
SC Bina,May-2015,0.3333333333333333
SC Bina,Jun-2015,0.8
SC Bina,Jul-2015,0.6666666666666666
SC Bina,Aug-2015,0.4
SC Bina,Sep-2015,0.0
SC Bina,Oct-2015,0.25
SC Bina,Nov-2015,0.3333333333333333
SC Bina,Dec-2015,1.0
SC Bina,Jan-2016,0.5
SC Bina,Feb-2016,1.0
SC Bina,Mar-2016,0.0
SC Bina,Total,0.46153846153846156
SC Bondri,Apr-2015,0.5714285714285714
SC Bondri,May-2015,1.0
SC Bondri,Jun-2015,0.3333333333333333
SC Bondri,Jul-2015,1.0
SC Bondri,Aug-2015,1.0
SC Bondri,Sep-2015,0.6666666666666666
SC Bondri,Oct-2015,0.6666666666666666
SC Bondri,Nov-2015,0.5
SC Bondri,Dec-2015,0.3333333333333333
SC Bondri,Jan-2016,0.6
SC Bondri,Feb-2016,0.4
SC Bondri,Mar-2016,0.75
SC Bondri,Total,0.65
SC Borda Mansar,Apr-2015,0.6666666666666666
SC Borda Mansar,May-2015,0.0
SC Borda Mansar,Jun-2015,0.6666666666666666
SC Borda Mansar,Jul-2015,1.0
SC Borda Mansar,Aug-2015,0.8
SC Borda Mansar,Sep-2015,0.7142857142857143
SC Borda Mansar,Oct-2015,0.25
SC Borda Mansar,Nov-2015,0.75
SC Borda Mansar,Dec-2015,0.75
SC Borda Mansar,Jan-2016,0.3333333333333333
SC Borda Mansar,Feb-2016,0.3333333333333333
SC Borda Mansar,Mar-2016,0.75
SC Borda Mansar,Total,0.6086956521739131
SC Bordoha,Apr-2015,1.0
SC Bordoha,May-2015,1.0
SC Bordoha,Jun-2015,0.5
SC Bordoha,Jul-2015,0.2
SC Bordoha,Aug-2015,1.0
SC Bordoha,Sep-2015,1.0
SC Bordoha,Oct-2015,0.0
SC Bordoha,Nov-2015,1.0
SC Bordoha,Dec-2015,1.0
SC Bordoha,Jan-2016,1.0
SC Bordoha,Feb-2016,0.875
SC Bordoha,Mar-2016,1.0
SC Bordoha,Total,0.75
SC Borgaon Dhapewada,Apr-2015,0.0
SC Borgaon Dhapewada,May-2015,1.0
SC Borgaon Dhapewada,Jun-2015,0.5
SC Borgaon Dhapewada,Jul-2015,0.0
SC Borgaon Dhapewada,Aug-2015,0.0
SC Borgaon Dhapewada,Sep-2015,
SC Borgaon Dhapewada,Oct-2015,0.0
SC Borgaon Dhapewada,Nov-2015,0.0
SC Borgaon Dhapewada,Dec-2015,0.3333333333333333
SC Borgaon Dhapewada,Jan-2016,0.0
SC Borgaon Dhapewada,Feb-2016,0.0
SC Borgaon Dhapewada,Mar-2016,0.4
SC Borgaon Dhapewada,Total,0.14705882352941177
SC Borgaon Pachgaon,Apr-2015,1.0
SC Borgaon Pachgaon,May-2015,1.0
SC Borgaon Pachgaon,Jun-2015,0.3333333333333333
SC Borgaon Pachgaon,Jul-2015,0.0
SC Borgaon Pachgaon,Aug-2015,1.0
SC Borgaon Pachgaon,Sep-2015,0.5
