,,Fraction of pregnant women registered within 1st trimester
SC Babdev,Jun-2015,1.0
SC Babdev,Jul-2015,0.8
SC Babdev,Aug-2015,0.625
SC Babdev,Sep-2015,1.0
SC Babdev,Oct-2015,1.0
SC Babdev,Nov-2015,0.42857142857142855
SC Babdev,Dec-2015,1.0
SC Babdev,Jan-2016,0.875
SC Babdev,Feb-2016,1.0
SC Babdev,Mar-2016,1.0
SC Babdev,Total,0.868421052631579
SC Badegaon,Apr-2015,1.0
SC Badegaon,May-2015,1.0
SC Badegaon,Jun-2015,1.0
SC Badegaon,Jul-2015,1.0
SC Badegaon,Aug-2015,1.0
SC Badegaon,Sep-2015,1.0
SC Badegaon,Oct-2015,
SC Badegaon,Nov-2015,1.0
SC Badegaon,Dec-2015,0.875
SC Badegaon,Jan-2016,1.0
SC Badegaon,Feb-2016,1.0
SC Badegaon,Mar-2016,1.0
SC Badegaon,Total,0.9795918367346939
SC Bajargaon,Apr-2015,0.8888888888888888
SC Bajargaon,May-2015,0.5
SC Bajargaon,Jun-2015,1.0
SC Bajargaon,Jul-2015,1.0
SC Bajargaon,Aug-2015,1.0
SC Bajargaon,Sep-2015,0.25
SC Bajargaon,Oct-2015,1.0
SC Bajargaon,Nov-2015,0.6
SC Bajargaon,Dec-2015,1.0
SC Bajargaon,Jan-2016,1.0
SC Bajargaon,Feb-2016,0.0
SC Bajargaon,Mar-2016,0.7692307692307693
SC Bajargaon,Total,0.7402597402597403
SC Bamhani,Apr-2015,1.0
SC Bamhani,May-2015,0.5
SC Bamhani,Jun-2015,0.75
SC Bamhani,Jul-2015,1.0
SC Bamhani,Aug-2015,1.0
SC Bamhani,Sep-2015,1.0
SC Bamhani,Oct-2015,1.0
SC Bamhani,Nov-2015,0.75
SC Bamhani,Dec-2015,1.0
SC Bamhani,Jan-2016,1.0
SC Bamhani,Feb-2016,0.8333333333333334
SC Bamhani,Mar-2016,1.0
SC Bamhani,Total,0.9056603773584906
SC Bandra,Apr-2015,0.7142857142857143
SC Bandra,May-2015,1.0
SC Bandra,Jun-2015,1.0
SC Bandra,Jul-2015,0.8
SC Bandra,Aug-2015,0.6666666666666666
SC Bandra,Sep-2015,0.5714285714285714
SC Bandra,Oct-2015,1.0
SC Bandra,Nov-2015,0.8
SC Bandra,Dec-2015,0.5
SC Bandra,Jan-2016,1.0
SC Bandra,Feb-2016,0.6666666666666666
SC Bandra,Mar-2016,1.0
SC Bandra,Total,0.7659574468085106
SC Bela,Apr-2015,1.0
SC Bela,May-2015,0.5
SC Bela,Jun-2015,1.0
SC Bela,Jul-2015,0.6
SC Bela,Aug-2015,0.625
SC Bela,Sep-2015,0.6666666666666666
SC Bela,Oct-2015,0.75
SC Bela,Nov-2015,1.0
SC Bela,Dec-2015,0.8333333333333334
SC Bela,Jan-2016,0.75
SC Bela,Feb-2016,0.75
SC Bela,Mar-2016,0.6666666666666666
SC Bela,Total,0.7192982456140351
SC Belda,Apr-2015,1.0
SC Belda,May-2015,1.0
SC Belda,Jun-2015,0.5
SC Belda,Jul-2015,1.0
SC Belda,Aug-2015,1.0
SC Belda,Sep-2015,1.0
SC Belda,Oct-2015,1.0
SC Belda,Nov-2015,1.0
SC Belda,Dec-2015,1.0
SC Belda,Jan-2016,1.0
SC Belda,Feb-2016,0.8333333333333334
SC Belda,Mar-2016,1.0
SC Belda,Total,0.9411764705882353
SC Belona,Apr-2015,0.9166666666666666
SC Belona,May-2015,0.8571428571428571
SC Belona,Jun-2015,0.7692307692307693
SC Belona,Jul-2015,0.6666666666666666
SC Belona,Aug-2015,0.8
SC Belona,Sep-2015,0.8
SC Belona,Oct-2015,0.8
SC Belona,Nov-2015,0.8
SC Belona,Dec-2015,0.8
SC Belona,Jan-2016,0.8333333333333334
SC Belona,Feb-2016,0.7142857142857143
SC Belona,Mar-2016,1.0
SC Belona,Total,0.792
SC Bhamewada,Apr-2015,1.0
SC Bhamewada,May-2015,1.0
SC Bhamewada,Jun-2015,1.0
SC Bhamewada,Jul-2015,1.0
SC Bhamewada,Aug-2015,1.0
SC Bhamewada,Sep-2015,1.0
SC Bhamewada,Oct-2015,1.0
SC Bhamewada,Nov-2015,0.8
SC Bhamewada,Dec-2015,0.8333333333333334
SC Bhamewada,Jan-2016,1.0
SC Bhamewada,Feb-2016,1.0
SC Bhamewada,Mar-2016,1.0
SC Bhamewada,Total,0.9607843137254902
SC Bhandarbodi,Apr-2015,1.0
SC Bhandarbodi,May-2015,1.0
SC Bhandarbodi,Jun-2015,1.0
SC Bhandarbodi,Jul-2015,1.0
SC Bhandarbodi,Aug-2015,1.0
SC Bhandarbodi,Sep-2015,1.0
SC Bhandarbodi,Oct-2015,0.7142857142857143
SC Bhandarbodi,Nov-2015,1.0
SC Bhandarbodi,Dec-2015,
SC Bhandarbodi,Jan-2016,1.0
SC Bhandarbodi,Feb-2016,1.0
SC Bhandarbodi,Mar-2016,1.0
SC Bhandarbodi,Total,0.9512195121951219
SC Bhanegaon,Apr-2015,0.9230769230769231
SC Bhanegaon,May-2015,0.6666666666666666
SC Bhanegaon,Jun-2015,0.625
SC Bhanegaon,Jul-2015,0.6666666666666666
SC Bhanegaon,Aug-2015,0.7
SC Bhanegaon,Sep-2015,0.875
SC Bhanegaon,Oct-2015,1.0
SC Bhanegaon,Nov-2015,1.0
SC Bhanegaon,Dec-2015,0.7692307692307693
SC Bhanegaon,Jan-2016,0.3333333333333333
SC Bhanegaon,Feb-2016,1.0
SC Bhanegaon,Mar-2016,0.8571428571428571
SC Bhanegaon,Total,0.7870370370370371
SC Bharsingi,Apr-2015,0.8
SC Bharsingi,May-2015,0.5
SC Bharsingi,Jun-2015,0.2857142857142857
SC Bharsingi,Jul-2015,0.5
SC Bharsingi,Aug-2015,0.42857142857142855
SC Bharsingi,Sep-2015,1.0
SC Bharsingi,Oct-2015,0.6
SC Bharsingi,Nov-2015,1.0
SC Bharsingi,Dec-2015,0.75
SC Bharsingi,Jan-2016,1.0
SC Bharsingi,Feb-2016,0.6666666666666666
SC Bharsingi,Mar-2016,0.875
SC Bharsingi,Total,0.676923076923077
SC Bhishnur Jalalkheda,Apr-2015,1.0
SC Bhishnur Jalalkheda,May-2015,1.0
SC Bhishnur Jalalkheda,Jun-2015,0.75
SC Bhishnur Jalalkheda,Jul-2015,1.0
SC Bhishnur Jalalkheda,Aug-2015,0.8
SC Bhishnur Jalalkheda,Sep-2015,1.0
SC Bhishnur Jalalkheda,Oct-2015,1.0
SC Bhishnur Jalalkheda,Nov-2015,1.0
SC Bhishnur Jalalkheda,Dec-2015,1.0
SC Bhishnur Jalalkheda,Jan-2016,1.0
SC Bhishnur Jalalkheda,Feb-2016,1.0
SC Bhishnur Jalalkheda,Mar-2016,1.0
SC Bhishnur Jalalkheda,Total,0.9636363636363636
SC Bhiwapur,Apr-2015,0.6666666666666666
SC Bhiwapur,May-2015,0.8
SC Bhiwapur,Jun-2015,1.0
