,,Fraction of newborns having weight less than 2.5 kg
SC Borgaon Dhapewada,Mar-2016,
SC Borgaon Dhapewada,Total,0.0
SC Borgaon Pachgaon,Apr-2015,
SC Borgaon Pachgaon,May-2015,
SC Borgaon Pachgaon,Jun-2015,
SC Borgaon Pachgaon,Jul-2015,0.0
SC Borgaon Pachgaon,Aug-2015,
SC Borgaon Pachgaon,Sep-2015,1.0
SC Borgaon Pachgaon,Oct-2015,0.0
SC Borgaon Pachgaon,Nov-2015,
SC Borgaon Pachgaon,Dec-2015,
SC Borgaon Pachgaon,Jan-2016,
SC Borgaon Pachgaon,Feb-2016,0.0
SC Borgaon Pachgaon,Mar-2016,1.0
SC Borgaon Pachgaon,Total,0.4
SC Bothali,Apr-2015,
SC Bothali,May-2015,0.0
SC Bothali,Jun-2015,0.0
SC Bothali,Jul-2015,0.0
SC Bothali,Aug-2015,
SC Bothali,Sep-2015,0.3333333333333333
SC Bothali,Oct-2015,
SC Bothali,Nov-2015,
SC Bothali,Dec-2015,0.0
SC Bothali,Jan-2016,1.0
SC Bothali,Feb-2016,
SC Bothali,Mar-2016,
SC Bothali,Total,0.3333333333333333
SC Butibori New,Apr-2015,0.0
SC Butibori New,May-2015,0.0
SC Butibori New,Jun-2015,0.0
SC Butibori New,Jul-2015,0.0
SC Butibori New,Aug-2015,0.0
SC Butibori New,Sep-2015,0.0
SC Butibori New,Oct-2015,0.0
SC Butibori New,Nov-2015,0.0
SC Butibori New,Dec-2015,0.0
SC Butibori New,Jan-2016,0.0
SC Butibori New,Feb-2016,0.0
SC Butibori New,Mar-2016,0.0
SC Butibori New,Total,0.0
SC Butibori old,Apr-2015,0.0
SC Butibori old,May-2015,
SC Butibori old,Jun-2015,
SC Butibori old,Jul-2015,
SC Butibori old,Aug-2015,0.0
SC Butibori old,Sep-2015,
SC Butibori old,Oct-2015,
SC Butibori old,Nov-2015,0.0
SC Butibori old,Dec-2015,
SC Butibori old,Jan-2016,0.0
SC Butibori old,Feb-2016,
SC Butibori old,Mar-2016,1.0
SC Butibori old,Total,0.14285714285714285
SC COLMINCE,Apr-2015,
SC COLMINCE,May-2015,
SC COLMINCE,Jun-2015,
SC COLMINCE,Jul-2015,
SC COLMINCE,Aug-2015,
SC COLMINCE,Sep-2015,
SC COLMINCE,Oct-2015,
SC COLMINCE,Nov-2015,0.0
SC COLMINCE,Dec-2015,0.0
SC COLMINCE,Jan-2016,
SC COLMINCE,Feb-2016,
SC COLMINCE,Mar-2016,
SC COLMINCE,Total,0.0
SC Chacher,Apr-2015,0.0
SC Chacher,May-2015,0.0
SC Chacher,Jun-2015,
SC Chacher,Jul-2015,0.0
SC Chacher,Aug-2015,0.0
SC Chacher,Sep-2015,0.0
SC Chacher,Oct-2015,0.0
SC Chacher,Nov-2015,0.0
SC Chacher,Dec-2015,0.0
SC Chacher,Jan-2016,
SC Chacher,Feb-2016,0.0
SC Chacher,Mar-2016,0.0
SC Chacher,Total,0.0
SC Champa,Apr-2015,0.5
SC Champa,May-2015,
SC Champa,Jun-2015,
SC Champa,Jul-2015,0.0
SC Champa,Aug-2015,0.0
SC Champa,Sep-2015,0.5
SC Champa,Oct-2015,0.0
SC Champa,Nov-2015,0.0
SC Champa,Dec-2015,0.0
SC Champa,Jan-2016,
SC Champa,Feb-2016,0.0
SC Champa,Mar-2016,
SC Champa,Total,0.15384615384615385
SC Chapegadi,Apr-2015,0.0
SC Chapegadi,May-2015,
SC Chapegadi,Jun-2015,
SC Chapegadi,Jul-2015,0.0
SC Chapegadi,Aug-2015,0.0
SC Chapegadi,Sep-2015,0.0
SC Chapegadi,Oct-2015,0.0
SC Chapegadi,Nov-2015,
SC Chapegadi,Dec-2015,
SC Chapegadi,Jan-2016,0.0
SC Chapegadi,Feb-2016,
SC Chapegadi,Mar-2016,
SC Chapegadi,Total,0.0
SC Chichala,Apr-2015,0.0
SC Chichala,May-2015,
SC Chichala,Jun-2015,0.0
SC Chichala,Jul-2015,0.0
SC Chichala,Aug-2015,0.0
SC Chichala,Sep-2015,0.0
SC Chichala,Oct-2015,0.0
SC Chichala,Nov-2015,0.0
SC Chichala,Dec-2015,0.0
SC Chichala,Jan-2016,0.0
SC Chichala,Feb-2016,
SC Chichala,Mar-2016,
SC Chichala,Total,0.0
