,,Fraction of people suffering from malaria caused by Plasmodium Falciparum
PHC Yenava,Jun-2015,0.0
PHC Yenava,Jul-2015,0.0
PHC Yenava,Aug-2015,0.0
PHC Yenava,Sep-2015,0.0
PHC Yenava,Oct-2015,0.0
PHC Yenava,Nov-2015,0.0
PHC Yenava,Dec-2015,0.0
PHC Yenava,Jan-2016,0.0
PHC Yenava,Feb-2016,0.0
PHC Yenava,Mar-2016,0.0
PHC Yenava,Total,0.0
RH Bhivpur,Apr-2015,0.0
RH Bhivpur,May-2015,0.0
RH Bhivpur,Jun-2015,0.0
RH Bhivpur,Jul-2015,0.0
RH Bhivpur,Aug-2015,0.0
RH Bhivpur,Sep-2015,0.0
RH Bhivpur,Oct-2015,0.0
RH Bhivpur,Nov-2015,0.0
RH Bhivpur,Dec-2015,0.0
RH Bhivpur,Jan-2016,0.0
RH Bhivpur,Feb-2016,0.0
RH Bhivpur,Mar-2016,0.0
RH Bhivpur,Total,0.0
RH Devlapar,Apr-2015,0.0
RH Devlapar,May-2015,0.0
RH Devlapar,Jun-2015,0.0
RH Devlapar,Jul-2015,0.0
RH Devlapar,Aug-2015,0.0021598272138228943
RH Devlapar,Sep-2015,0.0016750418760469012
RH Devlapar,Oct-2015,0.0030627871362940277
RH Devlapar,Nov-2015,0.0028653295128939827
RH Devlapar,Dec-2015,0.009554140127388535
RH Devlapar,Jan-2016,0.0
RH Devlapar,Feb-2016,0.0
RH Devlapar,Mar-2016,0.0
RH Devlapar,Total,0.002015621063240111
RH Hingana,Apr-2015,0.0
RH Hingana,May-2015,0.0
RH Hingana,Jun-2015,0.0
RH Hingana,Jul-2015,0.0
RH Hingana,Aug-2015,0.0
RH Hingana,Sep-2015,0.0
RH Hingana,Oct-2015,0.0
RH Hingana,Nov-2015,0.0
RH Hingana,Dec-2015,0.0
RH Hingana,Jan-2016,0.00211864406779661
RH Hingana,Feb-2016,0.0
RH Hingana,Mar-2016,0.0
RH Hingana,Total,0.0001786033220217896
RH Kamleshwar,Apr-2015,0.0
RH Kamleshwar,May-2015,0.0
RH Kamleshwar,Jun-2015,0.0
RH Kamleshwar,Jul-2015,0.0
RH Kamleshwar,Aug-2015,0.0
RH Kamleshwar,Sep-2015,0.0
RH Kamleshwar,Oct-2015,0.0
RH Kamleshwar,Nov-2015,0.0
RH Kamleshwar,Dec-2015,0.0
RH Kamleshwar,Jan-2016,0.0
RH Kamleshwar,Feb-2016,0.0
RH Kamleshwar,Mar-2016,0.0
RH Kamleshwar,Total,0.0
RH Katol,Apr-2015,0.0
RH Katol,May-2015,0.0029239766081871343
RH Katol,Jun-2015,0.0
RH Katol,Jul-2015,0.0
RH Katol,Aug-2015,0.0
RH Katol,Sep-2015,0.0
RH Katol,Oct-2015,0.0
RH Katol,Nov-2015,0.0015105740181268882
RH Katol,Dec-2015,0.0
RH Katol,Jan-2016,0.005681818181818182
RH Katol,Feb-2016,0.0
RH Katol,Mar-2016,0.0
RH Katol,Total,0.0006260760682422914
RH Kuhi,Apr-2015,0.0
RH Kuhi,May-2015,0.0
RH Kuhi,Jun-2015,0.0
RH Kuhi,Jul-2015,0.0
RH Kuhi,Aug-2015,0.0
RH Kuhi,Sep-2015,0.0044742729306487695
RH Kuhi,Oct-2015,0.0
RH Kuhi,Nov-2015,0.0
RH Kuhi,Dec-2015,0.0
RH Kuhi,Jan-2016,0.0
RH Kuhi,Feb-2016,0.0
RH Kuhi,Mar-2016,0.0
RH Kuhi,Total,0.000667779632721202
RH Narkhed,Apr-2015,0.0
RH Narkhed,May-2015,0.0
RH Narkhed,Jun-2015,0.0
RH Narkhed,Jul-2015,0.0
RH Narkhed,Aug-2015,0.0
RH Narkhed,Sep-2015,0.0
RH Narkhed,Oct-2015,0.0016474464579901153
RH Narkhed,Nov-2015,0.0
RH Narkhed,Dec-2015,0.0
RH Narkhed,Jan-2016,0.0
RH Narkhed,Feb-2016,0.0
RH Narkhed,Mar-2016,0.0
RH Narkhed,Total,0.00015467904098994585
RH Omred,Apr-2015,0.0
RH Omred,May-2015,0.0
RH Omred,Jun-2015,0.0
RH Omred,Jul-2015,0.0
RH Omred,Aug-2015,0.0008045052292839903
RH Omred,Sep-2015,0.0
RH Omred,Oct-2015,0.0
RH Omred,Nov-2015,0.0
RH Omred,Dec-2015,0.0
RH Omred,Jan-2016,0.0
RH Omred,Feb-2016,0.0
RH Omred,Mar-2016,0.0
RH Omred,Total,7.965588657001752e-05
RH Parshivani,Apr-2015,0.0
RH Parshivani,May-2015,0.0
RH Parshivani,Jun-2015,0.0
RH Parshivani,Jul-2015,0.0
RH Parshivani,Aug-2015,0.0
RH Parshivani,Sep-2015,0.0018832391713747645
RH Parshivani,Oct-2015,0.002028397565922921
RH Parshivani,Nov-2015,0.0
RH Parshivani,Dec-2015,0.0
RH Parshivani,Jan-2016,0.0
RH Parshivani,Feb-2016,0.0
RH Parshivani,Mar-2016,0.0
RH Parshivani,Total,0.00042854081851296334
